uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits
8.500000,5,0.647400,0.213726,0.104419,0.034472,3.237000
8.000000,5,0.646000,0.216913,0.104194,0.034986,3.230000
9.000000,5,0.643600,0.212189,0.103806,0.034224,3.218000
7.500000,5,0.642400,0.219842,0.103613,0.035458,3.212000
10.000000,5,0.637600,0.211639,0.102839,0.034135,3.188000
7.000000,5,0.632000,0.227129,0.101935,0.036634,3.160000
11.000000,5,0.626600,0.209419,0.101065,0.033777,3.133000
6.500000,5,0.619400,0.228289,0.099903,0.036821,3.097000
12.000000,5,0.616000,0.211539,0.099355,0.034119,3.080000
6.000000,5,0.600200,0.223450,0.096806,0.036040,3.001000
5.500000,5,0.574800,0.214781,0.092710,0.034642,2.874000
5.000000,5,0.553800,0.206950,0.089323,0.033379,2.769000
4.500000,5,0.534000,0.198200,0.086129,0.031968,2.670000
4.000000,5,0.513800,0.188056,0.082871,0.030332,2.569000
3.500000,5,0.471200,0.180231,0.076000,0.029069,2.356000
3.000000,5,0.423000,0.165947,0.068226,0.026766,2.115000
2.000000,5,0.310200,0.166624,0.050032,0.026875,1.551000
1.000000,5,0.223400,0.144476,0.036032,0.023303,1.117000
0.000000,5,0.093800,0.103015,0.015129,0.016615,0.469000
10.000000,10,0.415500,0.138669,0.134032,0.044732,4.155000
11.000000,10,0.415200,0.134488,0.133935,0.043383,4.152000
9.000000,10,0.411600,0.142568,0.132774,0.045990,4.116000
12.000000,10,0.411400,0.131709,0.132710,0.042487,4.114000
8.500000,10,0.409300,0.142421,0.132032,0.045942,4.093000
8.000000,10,0.406300,0.144676,0.131065,0.046670,4.063000
7.500000,10,0.402200,0.145246,0.129742,0.046853,4.022000
7.000000,10,0.398900,0.142791,0.128677,0.046062,3.989000
6.500000,10,0.398600,0.140206,0.128581,0.045228,3.986000
6.000000,10,0.394700,0.137626,0.127323,0.044395,3.947000
5.500000,10,0.394500,0.133557,0.127258,0.043083,3.945000
5.000000,10,0.390300,0.129818,0.125903,0.041877,3.903000
4.500000,10,0.384600,0.129382,0.124065,0.041736,3.846000
4.000000,10,0.373200,0.128990,0.120387,0.041610,3.732000
3.500000,10,0.361700,0.127040,0.116677,0.040981,3.617000
3.000000,10,0.353000,0.127857,0.113871,0.041244,3.530000
2.000000,10,0.292100,0.115590,0.094226,0.037287,2.921000
1.000000,10,0.216200,0.094692,0.069742,0.030546,2.162000
0.000000,10,0.168200,0.090758,0.054258,0.029277,1.682000
