k,best_uncertainty_weight,precision_at_k,baseline_precision_at_k,improvement,runs,user,anime_rated
5,7.5,0.5225,0.0945,5.53,800,chekkit,251
10,3.5,0.341375,0.06325,5.40,800,chekkit,251
