feature_set,numeric_features,feature_context,n_runs,random_state,bayesian_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k
combo_mean_popularity_watching,"mean, popularity, watching",genres + synopsis SVD,500,42,8.5,5,0.6604,0.216993,0.103188,0.033905,3.302,0.0976,0.121093,0.01525,0.018921,0.488,0.702652,0.190396,0.987667,0.094453,3.76,2.992
combo_mean_popularity_watching,"mean, popularity, watching",genres + synopsis SVD,500,42,8.5,10,0.4166,0.147336,0.130188,0.046042,4.166,0.0634,0.059054,0.019813,0.018454,0.634,0.538848,0.147319,0.988175,0.089338,5.286,3.972
