score_variant,user,feature_set,n_runs,weights_tested,best_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,conclusion
unclipped,chekkit,mean+popularity+watching+genres+synopsis_svd,500,"7;7.5;8;8.5;9;10;11;12;13;14",14.0,5,0.5676,0.206095,0.088688,0.032202,2.838,0.0976,0.121093,0.01525,0.018921,0.488,"Unclipped scores underperformed clipped focused tuning; keep clipped predictions for ranking."
unclipped,chekkit,mean+popularity+watching+genres+synopsis_svd,500,"7;7.5;8;8.5;9;10;11;12;13;14",14.0,10,0.4026,0.141327,0.125812,0.044165,4.026,0.0488,0.060547,0.01525,0.018921,0.488,"Unclipped scores underperformed clipped focused tuning; keep clipped predictions for ranking."
