k,best_uncertainty_weight,precision_at_k,baseline_precision_at_k,improvement,runs,user,anime_rated
5,8.5,0.6474,0.0984,6.58,1000,chekkit,251
10,10.0,0.4155,0.0643,6.46,1000,chekkit,251
