bayesian_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits
23,5,0.5812,0.1958654808105458,0.0908125,0.030603981376647778,2.906,0.6505082810093029,0.19681194171681612,0.9725666666666667,0.1280915662451307,3.41,2.632,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
22,5,0.58,0.19635965529725535,0.090625,0.03068119614019613,2.9,0.6527219226104258,0.19705088230462353,0.9745666666666667,0.12454473316401446,3.416,2.644,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
24,5,0.5792,0.19504729399247653,0.0905,0.03047613968632445,2.896,0.6495030663203406,0.19675707415367127,0.9723999999999999,0.12865202169173537,3.408,2.624,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
25,5,0.576,0.19426651527712083,0.09,0.03035414301205013,2.88,0.6474547420678176,0.1955340724334357,0.9739,0.12485311343014129,3.4,2.606,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
