score_variant,clip_predictions,bayesian_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,n_runs
unclipped,False,14,5,0.552,0.20956043970522495,0.08625,0.03274381870394139,2.76,0.6659086082898747,0.19359077001963157,0.9708333333333333,0.12962547519332568,3.365,2.745,46.235,31.76,0.115,0.13061508912655417,0.01796875,0.020408607676024086,0.575,200
unclipped,False,14,10,0.3945,0.13752934816990955,0.12328125,0.04297792130309673,3.945,0.5150657187326712,0.14161285345645683,0.9708333333333333,0.12962547519332568,4.96,3.7,46.235,31.76,0.0575,0.06530754456327709,0.01796875,0.020408607676024086,0.575,200
clipped,True,14,5,0.5489999999999999,0.21028575915290262,0.08578125,0.032857149867641024,2.745,0.6595667226886894,0.19527310198557538,0.9691666666666667,0.13031283494936513,3.335,2.705,46.235,31.76,0.115,0.13061508912655417,0.01796875,0.020408607676024086,0.575,200
clipped,True,14,10,0.3925,0.13743431505549794,0.12265625,0.042948223454843115,3.925,0.5092936467953642,0.14245014221780947,0.9691666666666667,0.13031283494936513,4.905,3.635,46.235,31.76,0.0575,0.06530754456327709,0.01796875,0.020408607676024086,0.575,200
