uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,feature_set,numeric_features,n_numeric_features,n_runs,clip_predictions,svd_explained_variance
14,5,0.47000000000000003,0.16254554017744982,0.0734375,0.025397740652726524,2.35,,,,,,combo_popularity_on_hold_dropped,"popularity, on_hold, dropped",3,20,False,0.40687277196386595
14,5,0.47000000000000003,0.21788456625132102,0.0734375,0.03404446347676892,2.35,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_dropped,"mean, popularity, statistics_num_list_users, dropped",4,20,False,0.40687277196386595
14,5,0.47000000000000003,0.1750187959830841,0.0734375,0.027346686872356894,2.35,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_watching_on_hold,"mean, popularity, statistics_num_list_users, watching, on_hold",5,20,False,0.40687277196386595
14,5,0.47000000000000003,0.19761738683361685,0.0734375,0.030877716692752636,2.35,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_completed_on_hold,"mean, popularity, statistics_num_list_users, completed, on_hold",5,20,False,0.40687277196386595
14,5,0.47000000000000003,0.20799797569865153,0.0734375,0.032499683702914305,2.35,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_completed_plan_to_watch,"mean, popularity, statistics_num_list_users, completed, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.47000000000000003,0.1866604008973459,0.0734375,0.0291656876402103,2.35,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_watching_completed_on_hold,"mean, popularity, watching, completed, on_hold",5,20,False,0.40687277196386595
14,5,0.4600000000000001,0.19574419397183718,0.071875,0.030585030308099552,2.3,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_completed,"mean, popularity, completed",3,20,False,0.40687277196386595
14,5,0.4600000000000001,0.21618705350983242,0.071875,0.033779227110911324,2.3,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_completed_dropped,"mean, popularity, completed, dropped",4,20,False,0.40687277196386595
14,5,0.45999999999999996,0.1729009451741235,0.071875,0.027015772683456795,2.3,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users,"mean, popularity, statistics_num_list_users",3,20,False,0.40687277196386595
14,5,0.45999999999999996,0.16026294183720635,0.071875,0.025041084662063492,2.3,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_plan_to_watch,"mean, popularity, plan_to_watch",3,20,False,0.40687277196386595
14,5,0.45999999999999996,0.18467610337532772,0.071875,0.02885564115239496,2.3,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_dropped_plan_to_watch,"mean, popularity, dropped, plan_to_watch",4,20,False,0.40687277196386595
