component,bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k_across_users,avg_precision_at_k,std_precision_at_k_across_users,avg_mrr_at_k,std_mrr_at_k_across_users,mean_within_user_std_ndcg_at_k,mean_within_user_std_precision_at_k,mean_within_user_std_mrr_at_k,users_evaluated,avg_score_count,svd_explained_variance,candidate_universe_size
50,0,5,0.10301579233718024,0.132009161152041,0.12413793103448276,0.147129613445796,0.17383908045977012,0.18186097888330552,0.09366981580464033,0.10997637978053108,0.17327538802615047,29,251.9655172413793,0.12783040142102292,4859
100,0,5,0.10245448415227171,0.13235675656160661,0.1233793103448276,0.1468411225472482,0.1730632183908046,0.1838227094769054,0.093166262232477,0.10930370037441597,0.1722922156722134,29,251.9655172413793,0.1940193341423156,4859
200,0,5,0.10384257843804398,0.13373726132052888,0.12448275862068967,0.14826294708332394,0.1740919540229885,0.18551218559539093,0.09402858582705391,0.11006564033964164,0.17271155900593566,29,251.9655172413793,0.29562264705222047,4859
300,0,5,0.1036635584232818,0.13364146008213582,0.12441379310344827,0.14840232892891908,0.1727528735632184,0.18439197390627093,0.09404910366255179,0.11021124477278338,0.17215280832397925,29,251.9655172413793,0.3789272706082881,4859
