username,requested_knn_neighbors,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_actual_knn_neighbors,min_actual_knn_neighbors,max_actual_knn_neighbors
IM_C4,200,5,0.5973178670151568,0.18923776575383716,0.552,0.18881876297795533,0.8951666666666667,0.230773536968082,2.76,2.76,41.06,26.91,100,228,171.0,171.0,171,171
IM_C4,250,5,0.5973178670151568,0.18923776575383716,0.552,0.18881876297795533,0.8951666666666667,0.230773536968082,2.76,2.76,41.06,26.91,100,228,171.0,171.0,171,171
IM_C4,300,5,0.5973178670151568,0.18923776575383716,0.552,0.18881876297795533,0.8951666666666667,0.230773536968082,2.76,2.76,41.06,26.91,100,228,171.0,171.0,171,171
DaiShi57,50,5,0.596643165635277,0.22604696114360937,0.534,0.2221201785911711,0.8886666666666666,0.24182341369664093,2.67,2.67,15.44,15.44,100,190,142.0,50.0,50,50
Edison-great,200,5,0.5886798234385966,0.22933017024109886,0.59,0.22807937657798444,0.8541666666666667,0.2442880009025427,2.95,2.63,90.2,39.17,100,459,344.0,200.0,200,200
Edison-great,250,5,0.5714353163834729,0.23070136700211458,0.5820000000000001,0.22935130303100568,0.8541666666666667,0.24770976780995618,2.91,2.49,90.2,39.17,100,459,344.0,250.0,250,250
IM_C4,150,5,0.566646654655961,0.21270769377890014,0.526,0.21771077097373887,0.8508333333333333,0.27275638172377153,2.63,2.63,41.06,26.91,100,228,171.0,150.0,150,150
Edison-great,300,5,0.5615161376246981,0.22975663488220488,0.574,0.22857485567416344,0.8711666666666666,0.24477543018723216,2.87,2.37,90.2,39.17,100,459,344.0,300.0,300,300
MeloniaShaby,100,5,0.5437209098207119,0.17076048151237502,0.542,0.14576860035166983,0.9166666666666667,0.2017042984617763,2.71,2.29,45.98,25.59,100,220,165.0,100.0,100,100
Ebelha,50,5,0.53969757942933,0.20915809724158343,0.5720000000000001,0.2089318674892015,0.7141666666666667,0.26650221149506825,2.86,2.64,48.0,17.9,100,191,143.0,50.0,50,50
Ebelha,100,5,0.5360035082967994,0.19780083517565486,0.5760000000000001,0.19338557287962252,0.7433333333333333,0.2756687613663652,2.88,2.58,48.0,17.9,100,191,143.0,100.0,100,100
MeloniaShaby,200,5,0.5339135453138851,0.17931728488108375,0.53,0.16666666666666666,0.9061666666666666,0.22101509259777818,2.65,2.31,45.98,25.59,100,220,165.0,165.0,165,165
MeloniaShaby,250,5,0.5339135453138851,0.17931728488108375,0.53,0.16666666666666666,0.9061666666666666,0.22101509259777818,2.65,2.31,45.98,25.59,100,220,165.0,165.0,165,165
MeloniaShaby,300,5,0.5339135453138851,0.17931728488108375,0.53,0.16666666666666666,0.9061666666666666,0.22101509259777818,2.65,2.31,45.98,25.59,100,220,165.0,165.0,165,165
xF0x,100,5,0.5202345585559336,0.232955798220759,0.462,0.23901312250015208,0.912,0.2727636339397171,2.31,2.09,20.45,12.71,100,135,101.0,100.0,100,100
xF0x,150,5,0.5199994410279924,0.23285795710498622,0.462,0.23901312250015208,0.912,0.2727636339397171,2.31,2.09,20.45,12.71,100,135,101.0,101.0,101,101
xF0x,200,5,0.5199994410279924,0.23285795710498622,0.462,0.23901312250015208,0.912,0.2727636339397171,2.31,2.09,20.45,12.71,100,135,101.0,101.0,101,101
xF0x,250,5,0.5199994410279924,0.23285795710498622,0.462,0.23901312250015208,0.912,0.2727636339397171,2.31,2.09,20.45,12.71,100,135,101.0,101.0,101,101
xF0x,300,5,0.5199994410279924,0.23285795710498622,0.462,0.23901312250015208,0.912,0.2727636339397171,2.31,2.09,20.45,12.71,100,135,101.0,101.0,101,101
Ebelha,150,5,0.5194651038663349,0.19255043635280816,0.5539999999999999,0.1794604708732834,0.7578333333333334,0.2892427417176853,2.77,2.44,48.0,17.9,100,191,143.0,143.0,143,143
Ebelha,200,5,0.5194651038663349,0.19255043635280816,0.5539999999999999,0.1794604708732834,0.7578333333333334,0.2892427417176853,2.77,2.44,48.0,17.9,100,191,143.0,143.0,143,143
Ebelha,250,5,0.5194651038663349,0.19255043635280816,0.5539999999999999,0.1794604708732834,0.7578333333333334,0.2892427417176853,2.77,2.44,48.0,17.9,100,191,143.0,143.0,143,143
Ebelha,300,5,0.5194651038663349,0.19255043635280816,0.5539999999999999,0.1794604708732834,0.7578333333333334,0.2892427417176853,2.77,2.44,48.0,17.9,100,191,143.0,143.0,143,143
MeloniaShaby,150,5,0.5168645619163916,0.18500170863931467,0.516,0.1612576832403356,0.9091666666666667,0.2209861455910978,2.58,2.14,45.98,25.59,100,220,165.0,150.0,150,150
xF0x,50,5,0.510872949003216,0.2434132338442953,0.44799999999999995,0.251251413383632,0.9083333333333333,0.2816647241580259,2.24,2.03,20.45,12.71,100,135,101.0,50.0,50,50
Irseus,300,5,0.5078717561166232,0.16580084978112902,0.602,0.1786481220588437,0.915,0.20582837478180668,3.01,2.16,187.09,26.89,100,775,581.0,300.0,300,300
IM_C4,100,5,0.5077535253296077,0.23210152827018052,0.48,0.2378353560042253,0.7503333333333333,0.3323384141937576,2.4,2.4,41.06,26.91,100,228,171.0,100.0,100,100
MeloniaShaby,50,5,0.5060570818223644,0.20515785782471951,0.514,0.18695864610532284,0.8411666666666666,0.27420382655256986,2.57,2.18,45.98,25.59,100,220,165.0,50.0,50,50
yorkie_pro,150,5,0.49440570416458945,0.21843328882909227,0.436,0.21719981025718596,0.8883333333333333,0.2824406615073815,2.18,1.99,32.46,18.08,100,187,140.0,140.0,140,140
yorkie_pro,200,5,0.49440570416458945,0.21843328882909227,0.436,0.21719981025718596,0.8883333333333333,0.2824406615073815,2.18,1.99,32.46,18.08,100,187,140.0,140.0,140,140
yorkie_pro,250,5,0.49440570416458945,0.21843328882909227,0.436,0.21719981025718596,0.8883333333333333,0.2824406615073815,2.18,1.99,32.46,18.08,100,187,140.0,140.0,140,140
yorkie_pro,300,5,0.49440570416458945,0.21843328882909227,0.436,0.21719981025718596,0.8883333333333333,0.2824406615073815,2.18,1.99,32.46,18.08,100,187,140.0,140.0,140,140
yorkie_pro,100,5,0.48229998174187144,0.2168237631007769,0.418,0.20907685503931636,0.8863333333333334,0.2880171384724736,2.09,1.9,32.46,18.08,100,187,140.0,100.0,100,100
Captn_Cook,100,5,0.473767627615289,0.19876288635930917,0.49,0.18936363393900602,0.8316666666666667,0.26616640786900597,2.45,1.89,16.53,8.52,100,79,59.0,59.0,59,59
Captn_Cook,150,5,0.473767627615289,0.19876288635930917,0.49,0.18936363393900602,0.8316666666666667,0.26616640786900597,2.45,1.89,16.53,8.52,100,79,59.0,59.0,59,59
Captn_Cook,200,5,0.473767627615289,0.19876288635930917,0.49,0.18936363393900602,0.8316666666666667,0.26616640786900597,2.45,1.89,16.53,8.52,100,79,59.0,59.0,59,59
Captn_Cook,250,5,0.473767627615289,0.19876288635930917,0.49,0.18936363393900602,0.8316666666666667,0.26616640786900597,2.45,1.89,16.53,8.52,100,79,59.0,59.0,59,59
Captn_Cook,300,5,0.473767627615289,0.19876288635930917,0.49,0.18936363393900602,0.8316666666666667,0.26616640786900597,2.45,1.89,16.53,8.52,100,79,59.0,59.0,59,59
TheRealist68,50,5,0.47304982642309507,0.21253638553891932,0.38800000000000007,0.20264912204760885,0.8656666666666666,0.30959968360012485,1.94,1.89,23.96,11.67,100,149,112.0,50.0,50,50
Irseus,250,5,0.4660675011754089,0.16417457598894766,0.544,0.17996632681665414,0.9008333333333333,0.21571761844849602,2.72,2.01,187.09,26.89,100,775,581.0,250.0,250,250
TheRealist68,100,5,0.4651813327431583,0.19075049778972472,0.446,0.18609218960048546,0.7486666666666666,0.3138826762592478,2.23,2.16,23.96,11.67,100,149,112.0,100.0,100,100
Captn_Cook,50,5,0.46454986803042425,0.1991921403216953,0.478,0.19257951263534936,0.8175,0.2839454172900137,2.39,1.86,16.53,8.52,100,79,59.0,50.0,50,50
yorkie_pro,50,5,0.4571985452811168,0.22116049750191322,0.39,0.2096172558245002,0.872,0.3110198278781166,1.95,1.76,32.46,18.08,100,187,140.0,50.0,50,50
TheRealist68,150,5,0.4494863562866709,0.1974646742118871,0.452,0.1898856646947464,0.6934999999999999,0.3152404085004255,2.26,2.1,23.96,11.67,100,149,112.0,112.0,112,112
TheRealist68,200,5,0.4494863562866709,0.1974646742118871,0.452,0.1898856646947464,0.6934999999999999,0.3152404085004255,2.26,2.1,23.96,11.67,100,149,112.0,112.0,112,112
TheRealist68,250,5,0.4494863562866709,0.1974646742118871,0.452,0.1898856646947464,0.6934999999999999,0.3152404085004255,2.26,2.1,23.96,11.67,100,149,112.0,112.0,112,112
TheRealist68,300,5,0.4494863562866709,0.1974646742118871,0.452,0.1898856646947464,0.6934999999999999,0.3152404085004255,2.26,2.1,23.96,11.67,100,149,112.0,112.0,112,112
GrumbleDango,300,5,0.4421629023626491,0.21275967021760475,0.47200000000000003,0.21181276275202696,0.5875,0.26977746784133433,2.36,2.24,85.95,51.45,100,488,366.0,300.0,300,300
GrumbleDango,250,5,0.4367041784328996,0.19506222911624077,0.46399999999999997,0.194635115749518,0.5931666666666666,0.2605689083610885,2.32,2.18,85.95,51.45,100,488,366.0,250.0,250,250
Opelo_Stradyon,200,5,0.4090578751266861,0.19781810801267644,0.41600000000000004,0.18130837617916956,0.6043333333333333,0.2944646457716572,2.08,2.08,23.48,23.48,100,395,296.0,200.0,200,200
Opelo_Stradyon,300,5,0.406435610125373,0.1871103576829742,0.41600000000000004,0.16497321484459718,0.596,0.2852738066860412,2.08,2.08,23.48,23.48,100,395,296.0,296.0,296,296
Irseus,100,5,0.404314917134841,0.17343384895249722,0.45399999999999996,0.17719475104522647,0.8434999999999999,0.27508691616980163,2.27,1.7,187.09,26.89,100,775,581.0,100.0,100,100
GrumbleDango,200,5,0.4035424766617142,0.199872943827086,0.41200000000000003,0.19862151205371753,0.5743333333333333,0.2774383785132365,2.06,1.96,85.95,51.45,100,488,366.0,200.0,200,200
Opelo_Stradyon,250,5,0.4029861538458255,0.19107686149287914,0.414,0.1758213050603689,0.5805,0.279480187283777,2.07,2.07,23.48,23.48,100,395,296.0,250.0,250,250
