bayesian_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits
20,5,0.5824,0.20102502860153632,0.091,0.03141016071899005,2.912,0.6554945926221564,0.19665984478495846,0.9732333333333334,0.1310241376590535,3.414,2.66,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
21,5,0.582,0.19958875555172273,0.0909375,0.03118574305495669,2.91,0.6546441622840901,0.19815261478203902,0.9745666666666667,0.12785301677672264,3.414,2.66,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
19,5,0.5784,0.2018289122490613,0.090375,0.03153576753891583,2.892,0.6543878975169601,0.1970592114603277,0.9729,0.13243489470681566,3.402,2.648,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
18,5,0.5768,0.20519739750758959,0.090125,0.03206209336056089,2.884,0.6556594662799905,0.19720794754159973,0.9732999999999999,0.13008697825104426,3.4,2.664,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
15,5,0.5728,0.20313218693929705,0.0895,0.03173940420926515,2.864,0.6574943148810806,0.19716848854268562,0.9695666666666667,0.13719333730681146,3.348,2.698,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
16,5,0.5716,0.1991802840924329,0.0893125,0.03112191938944265,2.858,0.6579978406664143,0.19582063675642938,0.9729,0.12988840850512662,3.376,2.69,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
17,5,0.5716,0.20237428369583613,0.0893125,0.03162098182747443,2.858,0.6572382989340243,0.1969460025196189,0.9726333333333333,0.13005513706637928,3.392,2.686,46.326,31.87,0.0976,0.12109321671451519,0.01525,0.018920815111643,0.488
