username,model,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_candidate_count,avg_knn_neighbors,feature_set,feature_columns,n_features,feature_rows,bayesian_uncertainty_weight,clip_predictions,n_runs,random_state,svd_explained_variance
Haileytokar,knn_all_available,5,0.29459139773908,0.1885801421578982,0.322,0.1726677196645088,0.5816666666666667,0.3657971017392741,1.61,1.3,41.49,16.4,100,198,148.0,4711.0,148.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
LocNguyen,global_mean,5,0.2882631261268447,0.1598286627637229,0.316,0.1561661896438495,0.465,0.3420944599502006,1.58,1.58,60.88,33.29,100,572,421.0,4438.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Siipn,global_mean,5,0.2831644558941165,0.1826654669471878,0.26,0.1740776559556978,0.5516666666666666,0.3652213633126868,1.3,1.3,87.15,16.15,100,448,336.0,4523.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Siipn,knn_all_available,5,0.2637790278289725,0.2493133294458887,0.342,0.284686607775049,0.5635,0.395099718904972,1.71,1.0,87.15,16.15,100,448,336.0,4523.0,336.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
MarnikBe,knn_all_available,5,0.2361373136680908,0.186336856203979,0.212,0.1552319867068952,0.5101666666666667,0.4198691408027371,1.06,1.05,32.63,17.87,100,163,122.0,4737.0,122.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
IM_C4,global_mean,5,0.2197587568108693,0.1858200124335857,0.204,0.1681269361722465,0.4475,0.3881043674065005,1.02,1.02,41.06,26.91,100,228,171.0,4688.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
DanteNani2004,global_mean,5,0.2160002767868208,0.074613008738179,0.32,0.1137070487229922,0.41,0.3278334142132974,1.6,1.37,17.19,8.18,100,75,56.0,4803.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
DaiShi57,global_mean,5,0.2073654745171096,0.1792497985171407,0.196,0.1530300030000059,0.43,0.4052683360964982,0.98,0.98,15.44,15.44,100,190,142.0,4717.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Edison-great,global_mean,5,0.1945481783760879,0.1637611616678642,0.196,0.1503665554905777,0.3883333333333333,0.3847580025661851,0.98,0.98,90.2,39.17,100,459,344.0,4515.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
pensa89,global_mean,5,0.1926055705326615,0.1744519754585826,0.204,0.1681269361722465,0.4675,0.3903103530745395,1.02,0.71,18.79,7.16,100,92,69.0,4790.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
TheRealist68,global_mean,5,0.1879204510121867,0.1785664018026431,0.166,0.1478601577931874,0.415,0.4085883557377087,0.83,0.83,23.96,11.67,100,149,112.0,4747.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
alfalfy,knn_all_available,5,0.1666347077134939,0.1535903768332177,0.196,0.1503665554905777,0.3746666666666667,0.3745216178003286,0.98,0.77,35.49,19.37,100,161,121.0,4738.0,121.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Moonshyla,global_mean,5,0.1593093163254639,0.1764179816182058,0.16,0.1477097891751992,0.445,0.4013550281058636,0.8,0.52,35.29,7.28,100,144,108.0,4751.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
dareggon,global_mean,5,0.1549571474465382,0.1595227511721711,0.186,0.156360112715759,0.4225,0.4169620165342682,0.93,0.5,32.02,12.67,100,145,109.0,4750.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
IM_C4,bayesian_ridge,5,0.1527126046912018,0.1346981063590865,0.158,0.1342242959235086,0.3026666666666666,0.2815573174468323,0.79,0.79,41.06,26.91,100,228,171.0,4688.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Kutu_Mastor,global_mean,5,0.1492074488340606,0.116863515104636,0.194,0.1542790335788379,0.2091666666666666,0.1448203151538382,0.97,0.97,41.19,21.31,100,237,178.0,4681.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
TheRealist68,bayesian_ridge,5,0.143284399748677,0.141083333564529,0.162,0.1549062929514472,0.2533333333333333,0.2748124551796834,0.81,0.8,23.96,11.67,100,149,112.0,4747.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Captn_Cook,bayesian_ridge,5,0.1361070966856376,0.108412239167199,0.208,0.1474907975215245,0.2319999999999999,0.1580904569940658,1.04,0.78,16.53,8.52,100,79,59.0,4800.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Captn_Cook,global_mean,5,0.1346633420636228,0.1010428984435093,0.216,0.1548671636720915,0.2283333333333333,0.1399555003833078,1.08,0.8,16.53,8.52,100,79,59.0,4800.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Dadalt,knn_all_available,5,0.1276347313796492,0.1174255633585649,0.17,0.1540693796228625,0.3096666666666666,0.3230933887015814,0.85,0.67,14.55,8.34,100,68,51.0,4808.0,51.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Irseus,global_mean,5,0.1253041367540779,0.1703493420263239,0.096,0.1286448403531791,0.3133333333333333,0.4337604732431807,0.48,0.48,187.09,26.89,100,775,581.0,4278.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
DanteNani2004,knn_all_available,5,0.1150474052947642,0.1201600554442969,0.126,0.1291933012617492,0.2205,0.2299643143154734,0.63,0.63,17.19,8.18,100,75,56.0,4803.0,56.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
HumanRat,bayesian_ridge,5,0.1145600926086113,0.1324594832015043,0.18,0.1740776559556978,0.3258333333333333,0.3595527758941635,0.9,0.46,34.29,9.94,100,161,121.0,4738.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
KSTTK,global_mean,5,0.1131340377804575,0.166698694815715,0.064,0.0937652344524301,0.32,0.4688261722621506,0.32,0.32,27.24,5.73,100,138,104.0,4755.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
alfalfy,global_mean,5,0.1057841682792175,0.1105214550465444,0.134,0.142290072199239,0.1658333333333333,0.1591287833704816,0.67,0.67,35.49,19.37,100,161,121.0,4738.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
LoyJoy,global_mean,5,0.1034803622129107,0.1362765549014959,0.088,0.0997775303139717,0.264,0.4008879034232775,0.44,0.44,27.61,15.48,100,231,173.0,4686.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
yorkie_pro,global_mean,5,0.095644557166628,0.0721826611842992,0.13,0.0958744970882204,0.166,0.1334998959633385,0.65,0.65,32.46,18.08,100,187,140.0,4719.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
GrumbleDango,global_mean,5,0.0949648574766125,0.1530497258601033,0.056,0.0902521719708425,0.28,0.451260859854213,0.28,0.28,85.95,51.45,100,488,366.0,4493.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
AkiAki_Akira,global_mean,5,0.0933190347810253,0.1022180608512995,0.112,0.1249484742288645,0.1633333333333333,0.1674727979318971,0.56,0.56,37.86,21.92,100,234,176.0,4683.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
