score_variant,clip_predictions,bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,score_count,n_runs,random_state,svd_explained_variance,users_evaluated
clipped,True,12,5,0.2676362717893619,0.14330946469008746,0.27810344827586203,0.1400682537333498,0.42652586206896553,0.2368615078269014,1.3905172413793105,1.1174137931034482,51.656379310344825,19.785,264.62068965517244,200,42,0.12796885211512077,29
clipped,True,12,10,0.23963861111418772,0.11218538992062768,0.2338448275862069,0.0959766208477455,0.4410073207443897,0.22569289105053664,2.338448275862069,1.6979310344827587,51.656379310344825,19.785,264.62068965517244,200,42,0.12796885211512077,29
