bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,clip_predictions
-1,5,0.007006152045528029,0.030736550242283837,0.01,0.043808582711518065,0.0115,0.05067972319808332,0.05,0.05,27.61,15.48,LoyJoy,231,100,False
-2,5,0.0014606834984270645,0.014606834984270647,0.002,0.02,0.0025,0.024999999999999998,0.01,0.01,27.61,15.48,LoyJoy,231,100,False
-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61,15.48,LoyJoy,231,100,False
-4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61,15.48,LoyJoy,231,100,False
-3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61,15.48,LoyJoy,231,100,False
20,10,0.1772064092281137,0.1056201568477793,0.198,0.10048367875913829,0.5052301587301588,0.3001152407874147,1.98,1.38,27.61,15.48,LoyJoy,231,100,False
18,10,0.17490478023461747,0.10637688580410146,0.19699999999999998,0.1039181884897437,0.4952857142857143,0.2996773901561876,1.97,1.38,27.61,15.48,LoyJoy,231,100,False
17,10,0.17409830527392622,0.10361818252714468,0.19899999999999998,0.10100005000498812,0.48914682539682536,0.29562058106560113,1.99,1.4,27.61,15.48,LoyJoy,231,100,False
15,10,0.16990056918696983,0.10162949161709367,0.196,0.09941241513426922,0.479984126984127,0.29895461286051456,1.96,1.37,27.61,15.48,LoyJoy,231,100,False
13,10,0.1666064976433998,0.10258151017162563,0.195,0.09987365756167875,0.4661626984126984,0.29898734608452004,1.95,1.37,27.61,15.48,LoyJoy,231,100,False
