bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k_across_users,avg_precision_at_k,std_precision_at_k_across_users,avg_mrr_at_k,std_mrr_at_k_across_users,mean_within_user_std_ndcg_at_k,mean_within_user_std_precision_at_k,mean_within_user_std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,users_evaluated,avg_score_count
-5,5,0.011218126826759415,0.020573696453309667,0.017655172413793104,0.029159996891618696,0.030482758620689655,0.05345266309659628,0.02695746942771804,0.03975151564671381,0.065621357315114,0.08827586206896552,0.049999999999999996,44.83724137931034,19.103793103448275,29,251.9655172413793
-5,10,0.011999399098587916,0.01658322621899936,0.01624137931034483,0.019542362725287327,0.03782909140667761,0.054802264469568276,0.02507515079683157,0.03305585710545857,0.07447580476234791,0.16241379310344828,0.10793103448275862,44.83724137931034,19.103793103448275,29,251.9655172413793
-4,5,0.016503311580715208,0.025340668504610305,0.025448275862068968,0.03673416685836668,0.04014942528735633,0.06163848044430773,0.0350359076799124,0.05111814925215831,0.07720524762021684,0.12724137931034482,0.0803448275862069,44.83724137931034,19.103793103448275,29,251.9655172413793
-4,10,0.019010889164885417,0.02154118559047374,0.02596551724137931,0.02640682103253504,0.05275437876299945,0.0629081358381383,0.03281813006147175,0.04237686136469063,0.08702846950579891,0.2596551724137931,0.18448275862068964,44.83724137931034,19.103793103448275,29,251.9655172413793
-3,5,0.02813402420199071,0.05250473548037397,0.0406896551724138,0.07000872570527797,0.0557183908045977,0.08451843162659607,0.04280866656370611,0.059982581967118406,0.08642523585129357,0.20344827586206896,0.15,44.83724137931034,19.103793103448275,29,251.9655172413793
-3,10,0.031816790149810675,0.046247245690660674,0.041413793103448275,0.05241422737699273,0.07251929392446634,0.0860099805636789,0.04079082416638485,0.05261451418103478,0.09584859475664827,0.41413793103448276,0.323103448275862,44.83724137931034,19.103793103448275,29,251.9655172413793
-2,5,0.050310873710135956,0.0883694245822099,0.06572413793103449,0.10748252235055446,0.0907183908045977,0.11714788597913964,0.060231277077876504,0.07713290555829205,0.12452894659301972,0.3286206896551724,0.26586206896551723,44.83724137931034,19.103793103448275,29,251.9655172413793
-2,10,0.05348637405959342,0.07308873258483646,0.0636551724137931,0.07576621743517027,0.11172318007662835,0.1151161943845377,0.05499440914541389,0.06593478828399099,0.13190468339970093,0.636551724137931,0.5275862068965518,44.83724137931034,19.103793103448275,29,251.9655172413793
-1,5,0.07656039608811374,0.11930696179415819,0.096,0.1372953021774598,0.13085057471264366,0.15985925943478801,0.07508633254491488,0.09424094869789429,0.14440820955916422,0.48,0.4010344827586207,44.83724137931034,19.103793103448275,29,251.9655172413793
-1,10,0.07833864100693515,0.09587655014808875,0.09041379310344827,0.09738785390730176,0.15589463601532566,0.1555849150030089,0.06516282101640716,0.07573029815835244,0.14574968670111993,0.9041379310344827,0.756896551724138,44.83724137931034,19.103793103448275,29,251.9655172413793
0,5,0.10301579233718024,0.132009161152041,0.12413793103448276,0.147129613445796,0.17383908045977012,0.18186097888330552,0.09366981580464033,0.10997637978053108,0.17327538802615047,0.6206896551724138,0.5389655172413793,44.83724137931034,19.103793103448275,29,251.9655172413793
0,10,0.11050602570367545,0.10758812427440048,0.12627586206896552,0.1116348948747415,0.205453886152162,0.1712123388166795,0.07792152270126954,0.08642079044451761,0.16546521383911036,1.262758620689655,1.0910344827586207,44.83724137931034,19.103793103448275,29,251.9655172413793
3,5,0.16848912412781789,0.1601822921045346,0.19806896551724137,0.17296530020177925,0.27810919540229884,0.21836940485314515,0.11958552889615084,0.1326338419034345,0.21455741764250763,0.9903448275862069,0.8641379310344827,44.83724137931034,19.103793103448275,29,251.9655172413793
3,10,0.1723585529998438,0.1398641899932775,0.1953103448275862,0.1485588155407711,0.30690161466885607,0.2035881099711981,0.09262842188995196,0.09704627246251271,0.19914986554299988,1.953103448275862,1.6313793103448277,44.83724137931034,19.103793103448275,29,251.9655172413793
5,5,0.17790208105443972,0.17514841531862285,0.20420689655172414,0.17932599590656612,0.30714942528735634,0.24681687971602173,0.12493354941508171,0.13426982973504634,0.22926119048151902,1.0210344827586206,0.8648275862068965,44.83724137931034,19.103793103448275,29,251.9655172413793
5,10,0.17504487240834413,0.14814179728033053,0.19751724137931034,0.15359353146016255,0.3327531472359059,0.23484543704901484,0.0933603374620203,0.09621160026300804,0.21378126560000393,1.9751724137931035,1.5634482758620691,44.83724137931034,19.103793103448275,29,251.9655172413793
6,5,0.18078939318113593,0.1734414879996497,0.2063448275862069,0.17861856323743322,0.3182011494252873,0.2534938259607499,0.12913149492456028,0.1360112507031139,0.23767774331154187,1.0317241379310345,0.8620689655172413,44.83724137931034,19.103793103448275,29,251.9655172413793
